==== e2e6m S1 layout search ====
D = 6.00 m | lambda = 500 nm | f/# band [12 20] | shroud <= 8.0 m
apertures OFF (design doctrine + realize_apertures frame defect)

stage 1: 216 geometries at tilt [-7.20 8.46 12.00]
        R1     T1     T2     R2     R3 |   tilt1   tilt2  tilt3 |     EFL     f/# shroud  train   AOI
    38.400  15.00  16.00  7.200  2.600 |   -7.20    8.46  12.00 |    1.52    0.25 11.012  16.15  37.1  x fno shroud OBSC
    44.000  15.00  16.00  7.200  2.600 |   -7.20    8.46  12.00 |     NaN     NaN    NaN    NaN   NaN  x rays lost
    38.400  17.00  16.00  7.200  2.600 |   -7.20    8.46  12.00 |    9.94    1.66 11.769  16.76  28.5  x fno shroud OBSC
    44.000  17.00  16.00  7.200  2.600 |   -7.20    8.46  12.00 |    0.14    0.02 12.782  16.83  48.2  x fno shroud OBSC
    38.400  13.00  19.00  7.200  2.600 |   -7.20    8.46  12.00 |     NaN     NaN    NaN    NaN   NaN  x rays lost
    44.000  13.00  19.00  7.200  2.600 |   -7.20    8.46  12.00 |     NaN     NaN    NaN    NaN   NaN  x rays lost
    38.400  15.00  19.00  7.200  2.600 |   -7.20    8.46  12.00 |    0.90    0.15 11.436  19.15  39.5  x fno shroud OBSC
    44.000  15.00  19.00  7.200  2.600 |   -7.20    8.46  12.00 |     NaN     NaN    NaN    NaN   NaN  x rays lost
    38.400  17.00  19.00  7.200  2.600 |   -7.20    8.46  12.00 |    8.50    1.42 12.467  19.10  37.3  x fno shroud OBSC
    44.000  17.00  19.00  7.200  2.600 |   -7.20    8.46  12.00 |    0.52    0.09 40.402  30.17  53.8  x fno shroud OBSC
    38.400  13.00  22.00  7.200  2.600 |   -7.20    8.46  12.00 |     NaN     NaN    NaN    NaN   NaN  x rays lost
    44.000  13.00  22.00  7.200  2.600 |   -7.20    8.46  12.00 |     NaN     NaN    NaN    NaN   NaN  x rays lost
    38.400  15.00  22.00  7.200  2.600 |   -7.20    8.46  12.00 |    0.32    0.05 11.859  22.15  42.0  x fno shroud OBSC
    44.000  15.00  22.00  7.200  2.600 |   -7.20    8.46  12.00 |     NaN     NaN    NaN    NaN   NaN  x rays lost
    38.400  17.00  22.00  7.200  2.600 |   -7.20    8.46  12.00 |    7.79    1.30 13.154  22.10  44.2  x fno shroud OBSC
    44.000  17.00  22.00  7.200  2.600 |   -7.20    8.46  12.00 |     NaN     NaN    NaN    NaN   NaN  x rays lost
  (0 of 216 meet all three gates)

==== ranked survivors (meet f/# band + shroud + unobscured) ====
        R1     T1     T2     R2     R3 |   tilt1   tilt2  tilt3 |     EFL     f/# shroud  train   AOI
NO candidate meets all three gates -- widen the grid.
